Animal,Peso,Sexo,Idade,Raça,FC,FR,PAS,T°C,Oximetria,Hematócrito,Arquivo
HORUS,"9,000",Macho,"10 anos, 10 meses, 21 dias
Pelagem",Pug,120 - 104 ,46 - 28 ,160 - 120 ,,,,Atualização Horus.pdf
,,Fêmea,,Agnes Guida     CRMV-SP 54020 ,,,,,,,Audrey (Jessica) 07-05 TITUL.pdf
,,Fêmea,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Audrey (Jessica) 07-05 URINA.pdf
,,Fêmea,,Jader Tomaz Dos Reis Costa     CRMV-SP 70049 ,,,,,,,Audrey (Jessica) 15-05.pdf
,,Fêmea,,Agnes Guida     CRMV-SP 54020 ,,,,,,,Audrey (Jessica) PCR.pdf
,,Fêmea,,Jader Tomaz Dos Reis Costa     CRMV-SP 70049 ,,,,,,,Audrey (Jessica) teste de compatibilidade e contagem de reticulócitos.pdf
,,,,,,,,,,,BANZE imagens.pdf
,,Macho,,Karine Germano     CRMV-SP 21.733 ,,,,,,,Banzé (Adriana) .pdf
,,Macho,,Thiago Popper     CRMV-SP 40993 ,,,,,,,Banzé (Adriana) 01-09.pdf
,,Macho,,Alessandra Rinah Nogueira     CRMV-SP 26925 ,,,,,,,Benjamin (Maruza) 28-04.pdf
,,Macho,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Benjamin (Maruza).pdf
,,Não,,,,,,,,,benjamin-shihtzu-m-9a-maruza.pdf
,,M,"9a
Proprietário",Idade: 9a,,,,,,,Benjamin_30abr23.pdf
,,Macho,,Isabella Azevedo     CRMV-SP 58987 ,,,,,,,Bidu (Glaucia) 12-07.pdf
,,Macho,,Isabella Azevedo     CRMV-SP 58987 ,,,,,,,Bidu (Glaucia) 13-07.pdf
,,Macho,,Julia Francesconi Guadanholi     CRMV-SP 67025 ,,,,,,,Blue (Andre) 08-08.pdf
,,Macho,,Keilliany Knebel     CRMV-SP 36754 ,,,,,,,Blue (Andre) 09-08.pdf
,,Macho,,Julia Francesconi Guadanholi     CRMV-SP 67025 ,,,,,,,Blue (Andre) 10-08.pdf
,,Macho,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Blue (Andre) 12-08.pdf
,,Macho,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Blue (Andre) 14-08.pdf
,,Macho,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Blue (Andre) contagem de reticulócitos.pdf
,,Macho,,Sergio Marques     CRMV-SP 39.118 ,,,,,,,Blue (Andre).pdf
,,Macho,,Lucas Fornari     CRMV-SP 50216 ,,,,,,,Blue (Natalia) 20-08.pdf
,,Macho,,Julia Francesconi Guadanholi     CRMV-SP 67025 ,,,,,,,Blue (Natalia) 21-08.pdf
,,Macho,,Lucas Fornari     CRMV-SP 50216 ,,,,,,,Blue (Natallia) .pdf
,,,"8 anos , Peso","SPITZ, ",,,,,,,BLUE ANDRE.pdf
,,Macho,,BORDER COLLIE,,,,,,,BLUE RUSSO-NATALLIA-VETSCAN2-.pdf
,,M,"2A
Proprietário",Idade: 2A,,,,,,,Blue_18ago24.pdf
,,,,,,,,,,,BLUE_CAN_SPITZ_M_9A_Andre Monteiro_ECO_mar_2024_imagens.pdf
,,Idade,"Peso
6,6
Sup",Sexo:,,,,,,,BLUE_CAN_SPITZ_M_9A_Andre Monteiro_ECO_mar_2024_laudo.pdf
,,M,"2A
Proprietário",Idade: 2A,,,,,,24,Blue_Reticulócitos_18ago24.pdf
,,Macho,,Marianna Leite Siqueira     CRMV-SP 61.708 ,,,,,,,Bob (Felipe) .pdf
,,Macho,,Nathalia Cristina S. Souza     CRMV-SP 64.690 ,,,,,,,Bob (Felipe) 14-05.pdf
,,Macho,,Beatriz Tereno De Souza Pascoinelli     CRMV-SP 51619 ,,,,,,,Bob (Glauco)  (1) (1).pdf
,,,"15 anos 
Responsável",S.R.D ,,,,,,44,Bob David - HgrBioq 09.05.25.pdf
,,,,,94,,,,,,bob relatorio.pdf
,,Macho,,Sara Gomes     CRMV-SP 64068 ,,,,,,,Bobby (Angela) .pdf
AGATHA,"4,100",Fêmea,"10 anos, 7 meses, 6 dias
Pelagem",SEM RAÇA DEFINIDA,172 - 120 ,32 - 32 ,80 - 100 - 110  ,,,,Boletim Agatha.pdf
AGE,"23,650",Macho,"4 anos, 3 meses, 17 dias
Pelagem",Chow chow,116 - 124 - 110 ,,130 - 150 - 130 ,,,,Boletim Age.pdf
ALASKA,,Macho,"4 anos, 3 meses, 3 dias
Pelagem",Pastor maremano,148 - 134 ,28 - 36 ,150 - 160 ,,,,Boletim Alaska-1.pdf
ALASKA,,Macho,"4 anos, 3 meses, 2 dias
Pelagem",Pastor maremano,148 ,,110 ,,98,,Boletim Alaska.pdf
AMY,,Fêmea,"11 anos, 4 meses, 11 dias
Pelagem",Pastor alemão,136 ,28 ,110 ,,96,,Boletim Amy-1.pdf
BLUE,"5,400",Macho,"10 anos, 1 mês, 17 dias
Pelagem",Spitz Alemão(Lulu da pomerania),128 - 148 ,32 - 28 ,180 - 130 ,,96,,Boletim Blue-1.pdf
BLUE,"6,400",Macho,"10 anos, 1 mês, 21 dias
Pelagem",Spitz Alemão(Lulu da pomerania),144 - 88 - 104 ,,160 - 130 - 120  ,,,,Boletim Blue-2.pdf
BLUE,"6,400",Macho,"10 anos, 1 mês, 22 dias
Pelagem",Spitz Alemão(Lulu da pomerania),144 - 160 - 135 ,24 - 36 - 40 ,130 - 110 - 100  ,,,,Boletim Blue-3.pdf
BLUE,"5,400",Macho,"10 anos, 1 mês, 16 dias
Pelagem",Spitz Alemão(Lulu da pomerania),140 - 116 ,36 - 32 ,140 - 160 ,,95,,Boletim Blue.pdf
BOB,,Macho,"15 anos, 2 meses, 4 dias
Pelagem",SEM RAÇA DEFINIDA,145 - 120 ,36 - 40 ,106 - 140 ,,,,Boletim Bob-1.pdf
BOB,"18,450",Macho,"15 anos, 2 meses, 8 dias
Pelagem",SEM RAÇA DEFINIDA,64 - 68 - 112 ,36 - 36 - 32 ,130 - 120 - 130 ,,,,Boletim Bob-2.pdf
BORIS,"9,700",Macho,"12 anos, 10 meses, 11 dias
Pelagem",Pug,108 - 128 ,40 - 36 ,150 - 120 ,,96,,Boletim Boris.pdf
BUD,"16,900",Macho,"9 anos, 5 meses, 10 dias
Pelagem",Pastor de shetland,124 - 132 - 128 ,,140 - 130 - 130 ,,,23,Boletim Bud-1.pdf
BUD,"16,800",Macho,"9 anos, 5 meses, 9 dias
Pelagem",Pastor de shetland,100 - 120 - 128 - 112 ,,150 - 150 - 170 - 150 ,,,,Boletim Bud.pdf
CARAMELO,"25,350",Macho,"9 anos, 4 meses, 17 dias
Pelagem",SEM RAÇA DEFINIDA,64 - 71 - 136 ,24 - 28 - 20 ,120 - 130 - 120 ,,97,,Boletim Caramelo.pdf
CHARLOTTE,"12,200",Fêmea,"10 anos, 3 meses, 8 dias
Pelagem",SEM RAÇA DEFINIDA,130 - 124 ,44 - 32 ,130 - 130 ,,,,Boletim Charlotte.pdf
CHORÃO,"28,300",Macho, ,Pastor alemão,84 - 108  ,,160 - 160 ,,,,Boletim Chorão-1.pdf
CHORÃO,"28,300",Macho, ,Pastor alemão,72 - 80 ,,130 - 130 ,,,,Boletim Chorão.pdf
DODÓ,"3,900",Fêmea,"6 anos, 22 dias
Pelagem",Spitz Alemão(Lulu da pomerania),152 ,,150 ,,,,Boletim Dodó.pdf
DUQUE,"27,200",Macho,"12 anos, 1 dia
Pelagem",SEM RAÇA DEFINIDA,96 - 84 - 92 ,32 - 40 - 44 ,160 - 160 - 180 ,,97,,Boletim Duque-1.pdf
DUQUE,"26,700",Macho,"12 anos, 2 dias
Pelagem",SEM RAÇA DEFINIDA,120 - 128 ,28 - 30 ,140 - 160 ,,97,,Boletim Duque.pdf
FRED,"6,600",Macho,"8 anos, 2 meses, 29 dias
Pelagem",Cavalier king charles spaniel,80 - 96 - 92 ,20 - 28 - 20 ,120 - 110 - 110 ,,97,,Boletim Fred.pdf
GALAK,"47,500",Macho,"10 anos, 1 mês, 13 dias
Pelagem",Labrador retriever,140 - 112 - 128 ,,120 - 200 - 180 ,,,,Boletim Galak.pdf
HORUS,"9,000",Macho,"10 anos, 10 meses, 20 dias
Pelagem",Pug,76 - 82 ,44 - 24 ,110  - 120 ,,,,Boletim Horus-1.pdf
HORUS,"9,000",Macho,"10 anos, 10 meses, 21 dias
Pelagem",Pug,100 - 116 ,32 - 36 ,140 - 150 ,,,,Boletim Horus-2.pdf
HORUS,"8,600",Macho,"10 anos, 10 meses, 25 dias
Pelagem",Pug,104 - 112 - 92 ,25 -36 - 32 ,150 - 140 -140 ,,,,Boletim Horus-3.pdf
JUBA,"33,500",Fêmea,"10 anos, 8 meses, 8 dias
Pelagem",Chow chow,108 - 106 - 116 ,60 - 40 - 64 ,110 - 110 - 100 ,,,,Boletim Juba.pdf
LETICIA,"17,450",Fêmea,"13 anos, 10 meses, 4 dias
Pelagem",SEM RAÇA DEFINIDA,112 - 106 - 104 ,32 - 36 - 36 ,140 - 160 - 180 ,,,,Boletim Letícia-1.pdf
LETICIA,"17,300",Fêmea,"13 anos, 10 meses, 3 dias
Pelagem",SEM RAÇA DEFINIDA,96 - 60 - 76 ,40 - 28 - 24 ,160 - 130 - 160 ,,,,Boletim Letícia.pdf
Luna,"19,000",Fêmea,"10 anos, 1 mês, 8 dias
Pelagem",Husky siberiano,96 - 132 ,40 - 32 ,,,,,Boletim Luna-6.pdf
MARLEY,"37,200",Macho,"12 anos, 10 meses, 27 dias
Pelagem",Golden retriever,140 - 130 - 116 ,,150 - 130 - 140 ,,,,Boletim Marley.pdf
MATE,"7,850",Macho,"13 anos, 5 meses, 8 dias
Pelagem",Dachshund pelo curto,112 - 110 - 120 ,30 - 24 - 30 ,110 - 120 - 130 ,,,,Boletim Mate-1.pdf
MATE,"7,800",Macho,"13 anos, 5 meses, 10 dias
Pelagem",Dachshund pelo curto,100 - 90 ,24 - 20 ,140 - 160 ,,,,Boletim Mate-2.pdf
MATE,"8,100",Macho,"13 anos, 5 meses, 7 dias
Pelagem",Dachshund pelo curto,80 - 96 - 104 ,32 - 28 - 20 ,150 - 120 - 160 ,,,,Boletim Mate.pdf
MATTE,"31,200",Macho,"9 anos, 7 meses, 5 dias
Pelagem",Golden retriever,148 - 148 ,,180 - 170 ,,100,26,Boletim Matte.pdf
MAYA,"8,100",Fêmea,"6 anos, 3 meses, 30 dias
Pelagem",Pug,100- 112 - 108 ,36 - 32 - 32 ,140 - 130 - 120 ,,,,Boletim Maya-1.pdf
MAYA,"8,000",Fêmea,"6 anos, 3 meses, 29 dias
Pelagem",Pug,116 - 136 - 112 ,32 - 20 - 24 ,120 - 120 - 120 ,,,,Boletim Maya.pdf
MEG,"5,250",Fêmea,"14 anos, 4 meses, 11 dias
Pelagem",Shih-Tzu,92 - 80 ,36 - 32 ,170 - 150 - 150 ,,,,Boletim Meg-3.pdf
MEG,"3,300",Fêmea,"10 anos, 2 meses, 17 dias
Pelagem",Yorkshire terrier,116 - 120 - 108 ,36 - 32 - 36 ,150 - 140 - 150  ,,,,Boletim Meg-4.pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 4 dias
Pelagem",SEM RAÇA DEFINIDA,150 - 140 ,,140 - 180 ,,98,,Boletim Mel-10.pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 3 dias
Pelagem",SEM RAÇA DEFINIDA,116 - 130 - 136 ,,160 - 160 - 170  ,,98,28,Boletim Mel-9.pdf
NINA,"14,800",Fêmea,"15 anos, 2 meses, 27 dias
Pelagem",SEM RAÇA DEFINIDA,112 - 132 ,36 - 32  ,150 - 150 ,,98,,Boletim Nina-6.pdf
DODÓ,"4,000",Fêmea,"5 anos, 3 meses
Pelagem",Spitz Alemão(Lulu da pomerania),,,,,98,27,Boletim noturno Dodó.pdf
PIPOCA,"4,700",Fêmea,"4 anos, 1 dia
Pelagem",Spitz Alemão(Lulu da pomerania),152 ,,140 ,,96,42,Boletim noturno Pipoca.pdf
PEQUENA,"6,400",Fêmea,"13 anos, 11 meses, 16 dias
Pelagem",Shih-Tzu,120 ,36 ,160 ,,99,,Boletim Pequena.pdf
PUCCA,"3,400",Fêmea,"15 anos, 28 dias
Pelagem",Poodle médio,84 - 76 ,52 - 36 ,160 - 160  ,,,,Boletim Pucca.pdf
RICOTA,"8,850",Fêmea,"11 anos, 8 dias
Pelagem",Yorkshire terrier,168 ,32 ,150 ,,,,Boletim Ricota-1.pdf
RICOTA,"9,600",Fêmea,"11 anos, 6 dias
Pelagem",Yorkshire terrier,70 - 60 - 124 ,,100 - 140 - 140 ,,,,Boletim Ricota.pdf
SOPHIA,"5,500",Fêmea,"14 anos, 6 meses, 16 dias
Pelagem",Shih-Tzu,100 - 112 - 116 ,,120 - 140 - 120  ,,98,,Boletim Sophia-3.pdf
SOPHIA,"5,500",Fêmea,"14 anos, 6 meses, 17 dias
Pelagem",Shih-Tzu,84 - 112 - 96 - 100 ,,150 - 160 - 100 - 150 ,,,,Boletim Sophia-4.pdf
,,Macho,,Larissa Alves Da Silva     CRMV-SP 69712 ,,,,,,,Boris (Cevalli) 03-10.pdf
,,,,,,,,,,,BORIS - CEVALLI 18.09.pdf
,,,,,,,,,,,Boris - fotos anteriores.pdf
,,Macho,"12 anos
Data",Pug,,,,,,,BORIS - PUG - LTB.pdf
,,,,,,,,,,,Boris - RX.pdf
,,,,,,,,,,,BORIS - US - 13.09.24.pdf
,,MACHO,"12 ANOS 
Proprietário",PUG                Idade: 12 ANOS ,,,,,,,BORIS 06 08.pdf
,,Macho,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Bud (Felippe) .pdf
,,Macho,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Bud (Felippe) 13-01.pdf
,,Macho,,Yasmin Misleh De Matos     CRMV-SP 61764 ,,,,,,,Bud (Felippe) 14-01.pdf
,,Macho,,Yasmin Misleh De Matos     CRMV-SP 61764 ,,,,,,,Bud (Felippe) 15-01.pdf
,,Macho,,Larissa Alves Da Silva     CRMV-SP 69712 ,,,,,,,Bud (Felippe) 20-01.pdf
,,Macho,,Larissa Alves Da Silva     CRMV-SP 69712 ,,,,,,,"Bud (Felippe) Hemograma, FR e Albumina 17-01.pdf"
,,Macho,,Larissa Alves Da Silva     CRMV-SP 69712 ,,,,,,,Bud (Luiz) 20-01.pdf
,,M,"9a
Proprietário",Idade: 9a,,,,,,,Bud_11jan25.pdf
,,M,"9a
Proprietário",Idade: 9a,,,,,,,Bud_19jan25.pdf
,,Macho,,Agnes Guida     CRMV-SP 54020 ,,,,,,,bunjiro (Vanessa) 21-03.pdf
,,Macho,"Srd Canino 
 Raça",Vanessa R.Snick     CRMV-SP 12438 ,,,,,,,BUNJIRO.pdf
,,Fêmea,,Yasmin Misleh De Matos     CRMV-SP 61764 ,,,,,,,Cacau (Fabio) .pdf
,,Macho,,Jader Tomaz Dos Reis Costa     CRMV-SP 70049 ,,,,,,,Caramelo (Diego) .pdf
,,Macho,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Caramelo (Diego) 06-05.pdf
,,M,"8 anos 5 meses 1dia
Microchip",S.R.D. CANINO,,,,,,,CARAMELO 18 05 2024_PROVET.pdf
,,Clinica,Sexo,Espécie:,,,,,,,CARAMELO_ 15 05 2024.pdf
,,M,"9A
Proprietário",Idade: 9A,,,,,,,Caramelo_04mai25.pdf
,,,"11 anos 
 
 
Peso",Lhasa Apso ,,,,,,,Carlota - 21.05.24.pdf
,,F,"12A
Proprietário",Idade: 12A,,,,,,,Carlota_13abr25.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Charlotte (Cristina) 17-04.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Chiquinha (Rodrigo) .pdf
,,,,,,,,,,,Chiquinha - raio x 2025-04-30 18_04_50.pdf
,,,"9 anos 
 
Clínica",,,,,,,,Chiquinha LAUDO ECO.docx (1).pdf
,,Fêmea,,Auddrey Sismoto Flores     CRMV-SP 17.002 ,,,,,,,Chiquinha.pdf
,,Macho,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Chorão (Bruna) 09-09-1.pdf
,,Macho,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Chorão (Bruna) 09-09.pdf
,,Macho,,Julia Francesconi Guadanholi     CRMV-SP 67025 ,,,,,,,Chorão (Bruna) 10-09-1.pdf
,,Macho,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Chorão (Bruna) 11-09.pdf
,,Macho,,Julia Francesconi Guadanholi     CRMV-SP 67025 ,,,,,,,Chorão (Bruna) 12-09.pdf
,,Macho,,Larissa Alves Da Silva     CRMV-SP 69712 ,,,,,,,Chorão (Bruna) Coagulação.pdf
